source_dir,project_slug,owner_repo,case_key,ok,trajectory_classification,project_attempt_classification,run_dir,record_kinds,non_adjacent_record_count,runtime_event_count,final_graph_record_count,skipped_blocks_union,non_adjacent_edges,notes
installamatic-runs,nonebot-nonebot2,nonebot/nonebot2,nonebot/nonebot2@be4f360,True,succeeded_after_internal_repair,one_project_attempt_success,installamatic-runs/state/nonebot-nonebot2/nonebot2/runs/installamatic-nonebot2,runtime_execution_backjump_non_adjacent,1,1,0,31-node-deps,50-test-tooling[7/50]->30-python-deps[5/30] skip=31-node-deps lines=21-22->23-33,missed_by_final_checkpoint_graph
installamatic-runs,sciphi-ai-r2r,SciPhi-AI/R2R,SciPhi-AI/R2R@712defb,False,failed_in_project_run,failed_in_project_run,installamatic-runs/state/sciphi-ai-r2r/R2R/runs/installamatic-r2r,runtime_execution_backjump_non_adjacent,1,1,0,30-project-dependencies,50-test-tooling[5/50]->20-python-runtime[3/20] skip=30-project-dependencies lines=28-29->30-40,missed_by_final_checkpoint_graph
projects-repo2run,DTrOCR,,DTrOCR,True,succeeded_after_internal_repair,one_project_attempt_success,projects-repo2run/DTrOCR/.pheragent/runs/repo2run-gpt-4o-20241120-dtrocr,runtime_execution_backjump_non_adjacent,2,2,0,20-python-runtime;30-python-deps,50-test-tooling[4/50]->00-preflight[1/0] skip=20-python-runtime;30-python-deps lines=5-6->7-9 | 50-test-tooling[4/50]->20-python-runtime[2/20] skip=30-python-deps lines=10-10->11-14,missed_by_final_checkpoint_graph
projects-repo2run,Verbiverse,,Verbiverse,True,succeeded_after_internal_repair,one_project_attempt_success,projects-repo2run/Verbiverse/.pheragent/runs/repo2run-gpt-4o-20241120-verbiverse,runtime_execution_backjump_non_adjacent,1,1,0,30-python-deps,50-test-tooling[4/50]->20-python-runtime[2/20] skip=30-python-deps lines=12-13->14-24,missed_by_final_checkpoint_graph
projects-repo2run,VideoFusion,,VideoFusion,True,succeeded_after_internal_repair,one_project_attempt_success,projects-repo2run/VideoFusion/.pheragent/runs/repo2run-gpt-4o-20241120-videofusion,runtime_execution_backjump_non_adjacent,2,2,0,20-python-runtime;21-node-runtime;30-python-deps;31-node-deps,30-python-deps[5/30]->20-python-runtime[3/20] skip=21-node-runtime lines=15-16->17-35 | 50-test-tooling[7/50]->10-system-packages[2/10] skip=20-python-runtime;21-node-runtime;30-python-deps;31-node-deps lines=57-58->59-92,missed_by_final_checkpoint_graph
projects-repo2run,cogvideox-factory,,cogvideox-factory,True,succeeded_after_internal_repair,one_project_attempt_success,projects-repo2run/cogvideox-factory/.pheragent/runs/repo2run-gpt-4o-20241120-cogvideox-factory,runtime_execution_backjump_non_adjacent,1,1,0,20-python-runtime;30-python-deps,50-test-tooling[4/50]->00-preflight[1/0] skip=20-python-runtime;30-python-deps lines=4-4->5-7,missed_by_final_checkpoint_graph
projects-repo2run,denser-retriever,,denser-retriever,True,succeeded_after_internal_repair,one_project_attempt_success,projects-repo2run/denser-retriever/.pheragent/runs/repo2run-gpt-4o-20241120-denser-retriever,runtime_execution_backjump_non_adjacent,1,1,0,31-node-deps,50-test-tooling[7/50]->30-python-deps[5/30] skip=31-node-deps lines=21-22->23-33,missed_by_final_checkpoint_graph
projects-repo2run,fastagency,,fastagency,True,succeeded_after_internal_repair,one_project_attempt_success,projects-repo2run/fastagency/.pheragent/runs/repo2run-gpt-4o-20241120-fastagency,runtime_execution_backjump_non_adjacent,1,1,0,31-node-deps,50-test-tooling[7/50]->30-python-deps[5/30] skip=31-node-deps lines=21-22->23-33,missed_by_final_checkpoint_graph
projects-repo2run,instructlab,,instructlab,False,failed_in_project_run,failed_in_project_run,projects-repo2run/instructlab/.pheragent/runs/repo2run-gpt-4o-20241120-instructlab,final_checkpoint_graph_non_adjacent,1,0,1,50-test-tooling,BASE->00-preflight | 00-preflight->20-python-runtime:previous | 20-python-runtime->30-python-deps:non_adjacent(skip=50-test-tooling),input_marked_non_adjacent_but_recomputed_previous_only
setupbench-runs-all-gpt-5.4-multiblock,apache-cassandra,apache/cassandra,apache/cassandra@73cd2c56ca07fc4bd1c77a7a45e1d6e27941fefa,True,succeeded_after_internal_repair,one_project_attempt_success,setupbench-runs-all-gpt-5.4-multiblock/state/apache-cassandra/cassandra/runs/setupbench-cassandra,runtime_execution_backjump_non_adjacent,1,1,0,40-native-build-config,50-test-tooling[6/50]->30-project-dependencies[4/30] skip=40-native-build-config lines=52-53->54-62,missed_by_final_checkpoint_graph
setupbench-runs-all-gpt-5.4-multiblock,habitat-sh-habitat,habitat-sh/habitat,habitat-sh/habitat@5826ff8e54da8985c2aa66b894aa962c4cd5d09b,True,succeeded_after_internal_repair,one_project_attempt_success,setupbench-runs-all-gpt-5.4-multiblock/state/habitat-sh-habitat/habitat/runs/setupbench-habitat,runtime_execution_backjump_non_adjacent,1,1,0,20-rust-runtime;30-project-dependencies,50-test-tooling[5/50]->10-system-packages[2/10] skip=20-rust-runtime;30-project-dependencies lines=15-16->17-21,missed_by_final_checkpoint_graph
