record_kind,source_dir,project_slug,owner_repo,case_key,ok,run_dir,edge_direction,from_block,from_order,to_block,to_order,skipped_blocks,event_lines,edge_summary,notes
runtime_execution_backjump_non_adjacent,executionagent-runs-gpt4o,spring-projects-spring-security,spring-projects/spring-security,spring-projects/spring-security@0d5f42f8529c1e56886e91616b6ca7d30f15c65e,True,executionagent-runs-gpt4o/state/spring-projects-spring-security/spring-security/runs/executionagent-gpt4o-spring-security,execution_time_backjump,20-java-runtime,20,00-preflight,0,10-system-packages,6-7->8-10,20-java-runtime[3/20]->00-preflight[1/0] skip=10-system-packages lines=6-7->8-10,missed_by_final_checkpoint_graph
runtime_execution_backjump_non_adjacent,executionagent-runs-gpt4o,mybatis-mybatis-3,mybatis/mybatis-3,mybatis/mybatis-3@58e2d5e9b0359116ebdc7ea2ea0a88d55545d4e2,True,executionagent-runs-gpt4o/state/mybatis-mybatis-3/mybatis-3/runs/executionagent-gpt4o-mybatis-3,execution_time_backjump,20-java-runtime,20,00-preflight,0,01-java-deps,6-7->8-18,20-java-runtime[3/20]->00-preflight[1/0] skip=01-java-deps lines=6-7->8-18,missed_by_final_checkpoint_graph
runtime_execution_backjump_non_adjacent,executionagent-runs-gpt4o,python-cpython,python/cpython,python/cpython@1eddef81930ad9f7e2f411f153c35af16a6edf14,True,executionagent-runs-gpt4o/state/python-cpython/cpython/runs/executionagent-gpt4o-cpython,execution_time_backjump,30-project-dependencies,30,10-system-packages,10,20-python-runtime;20-runtime-toolchain,56-57->58-68,30-project-dependencies[5/30]->10-system-packages[2/10] skip=20-python-runtime;20-runtime-toolchain lines=56-57->58-68,missed_by_final_checkpoint_graph
runtime_execution_backjump_non_adjacent,installamatic-runs,nonebot-nonebot2,nonebot/nonebot2,nonebot/nonebot2@be4f360,True,installamatic-runs/state/nonebot-nonebot2/nonebot2/runs/installamatic-nonebot2,execution_time_backjump,50-test-tooling,50,30-python-deps,30,31-node-deps,21-22->23-33,50-test-tooling[7/50]->30-python-deps[5/30] skip=31-node-deps lines=21-22->23-33,missed_by_final_checkpoint_graph
runtime_execution_backjump_non_adjacent,installamatic-runs,sciphi-ai-r2r,SciPhi-AI/R2R,SciPhi-AI/R2R@712defb,False,installamatic-runs/state/sciphi-ai-r2r/R2R/runs/installamatic-r2r,execution_time_backjump,50-test-tooling,50,20-python-runtime,20,30-project-dependencies,28-29->30-40,50-test-tooling[5/50]->20-python-runtime[3/20] skip=30-project-dependencies lines=28-29->30-40,missed_by_final_checkpoint_graph
runtime_execution_backjump_non_adjacent,setupbench-runs-all-gpt-5.4-multiblock,habitat-sh-habitat,habitat-sh/habitat,habitat-sh/habitat@5826ff8e54da8985c2aa66b894aa962c4cd5d09b,True,setupbench-runs-all-gpt-5.4-multiblock/state/habitat-sh-habitat/habitat/runs/setupbench-habitat,execution_time_backjump,50-test-tooling,50,10-system-packages,10,20-rust-runtime;30-project-dependencies,15-16->17-21,50-test-tooling[5/50]->10-system-packages[2/10] skip=20-rust-runtime;30-project-dependencies lines=15-16->17-21,missed_by_final_checkpoint_graph
runtime_execution_backjump_non_adjacent,setupbench-runs-all-gpt-5.4-multiblock,apache-cassandra,apache/cassandra,apache/cassandra@73cd2c56ca07fc4bd1c77a7a45e1d6e27941fefa,True,setupbench-runs-all-gpt-5.4-multiblock/state/apache-cassandra/cassandra/runs/setupbench-cassandra,execution_time_backjump,50-test-tooling,50,30-project-dependencies,30,40-native-build-config,52-53->54-62,50-test-tooling[6/50]->30-project-dependencies[4/30] skip=40-native-build-config lines=52-53->54-62,missed_by_final_checkpoint_graph
runtime_execution_backjump_non_adjacent,projects-repo2run,denser-retriever,,denser-retriever,True,projects-repo2run/denser-retriever/.pheragent/runs/repo2run-gpt-4o-20241120-denser-retriever,execution_time_backjump,50-test-tooling,50,30-python-deps,30,31-node-deps,21-22->23-33,50-test-tooling[7/50]->30-python-deps[5/30] skip=31-node-deps lines=21-22->23-33,missed_by_final_checkpoint_graph
runtime_execution_backjump_non_adjacent,projects-repo2run,DTrOCR,,DTrOCR,True,projects-repo2run/DTrOCR/.pheragent/runs/repo2run-gpt-4o-20241120-dtrocr,execution_time_backjump,50-test-tooling,50,00-preflight,0,20-python-runtime;30-python-deps,5-6->7-9,50-test-tooling[4/50]->00-preflight[1/0] skip=20-python-runtime;30-python-deps lines=5-6->7-9,missed_by_final_checkpoint_graph
runtime_execution_backjump_non_adjacent,projects-repo2run,DTrOCR,,DTrOCR,True,projects-repo2run/DTrOCR/.pheragent/runs/repo2run-gpt-4o-20241120-dtrocr,execution_time_backjump,50-test-tooling,50,20-python-runtime,20,30-python-deps,10-10->11-14,50-test-tooling[4/50]->20-python-runtime[2/20] skip=30-python-deps lines=10-10->11-14,missed_by_final_checkpoint_graph
runtime_execution_backjump_non_adjacent,projects-repo2run,Verbiverse,,Verbiverse,True,projects-repo2run/Verbiverse/.pheragent/runs/repo2run-gpt-4o-20241120-verbiverse,execution_time_backjump,50-test-tooling,50,20-python-runtime,20,30-python-deps,12-13->14-24,50-test-tooling[4/50]->20-python-runtime[2/20] skip=30-python-deps lines=12-13->14-24,missed_by_final_checkpoint_graph
runtime_execution_backjump_non_adjacent,projects-repo2run,fastagency,,fastagency,True,projects-repo2run/fastagency/.pheragent/runs/repo2run-gpt-4o-20241120-fastagency,execution_time_backjump,50-test-tooling,50,30-python-deps,30,31-node-deps,21-22->23-33,50-test-tooling[7/50]->30-python-deps[5/30] skip=31-node-deps lines=21-22->23-33,missed_by_final_checkpoint_graph
runtime_execution_backjump_non_adjacent,projects-repo2run,VideoFusion,,VideoFusion,True,projects-repo2run/VideoFusion/.pheragent/runs/repo2run-gpt-4o-20241120-videofusion,execution_time_backjump,30-python-deps,30,20-python-runtime,20,21-node-runtime,15-16->17-35,30-python-deps[5/30]->20-python-runtime[3/20] skip=21-node-runtime lines=15-16->17-35,missed_by_final_checkpoint_graph
runtime_execution_backjump_non_adjacent,projects-repo2run,VideoFusion,,VideoFusion,True,projects-repo2run/VideoFusion/.pheragent/runs/repo2run-gpt-4o-20241120-videofusion,execution_time_backjump,50-test-tooling,50,10-system-packages,10,20-python-runtime;21-node-runtime;30-python-deps;31-node-deps,57-58->59-92,50-test-tooling[7/50]->10-system-packages[2/10] skip=20-python-runtime;21-node-runtime;30-python-deps;31-node-deps lines=57-58->59-92,missed_by_final_checkpoint_graph
runtime_execution_backjump_non_adjacent,projects-repo2run,cogvideox-factory,,cogvideox-factory,True,projects-repo2run/cogvideox-factory/.pheragent/runs/repo2run-gpt-4o-20241120-cogvideox-factory,execution_time_backjump,50-test-tooling,50,00-preflight,0,20-python-runtime;30-python-deps,4-4->5-7,50-test-tooling[4/50]->00-preflight[1/0] skip=20-python-runtime;30-python-deps lines=4-4->5-7,missed_by_final_checkpoint_graph
